Protocol  Address          Age (min)  Hardware Addr   Type   Interface
Internet  10.0.12.1               3   5000.0003.0003  ARPA   GigabitEthernet0/3
Internet  10.0.12.2               -   5000.0002.0003  ARPA   GigabitEthernet0/3
Internet  10.23.1.1               -   5000.0002.0000  ARPA   GigabitEthernet0/0
Internet  10.23.1.2               3   5000.0006.0000  ARPA   GigabitEthernet0/0
Internet  10.24.1.1               -   5000.0002.0001  ARPA   GigabitEthernet0/1
Internet  10.24.1.2               3   5000.0007.0001  ARPA   GigabitEthernet0/1
Internet  192.168.1.12            -   5000.0002.0002  ARPA   GigabitEthernet0/2
Internet  192.168.1.100           0   000c.2901.30df  ARPA   GigabitEthernet0/2
