Protocol  Address          Age (min)  Hardware Addr   Type   Interface
Internet  10.13.1.1               3   5000.0001.0001  ARPA   GigabitEthernet0/1
Internet  10.13.1.2               -   5000.0006.0001  ARPA   GigabitEthernet0/1
Internet  10.23.1.1               3   5000.0002.0000  ARPA   GigabitEthernet0/0
Internet  10.23.1.2               -   5000.0006.0000  ARPA   GigabitEthernet0/0
Internet  10.34.1.1               -   5000.0006.0002  ARPA   GigabitEthernet0/2
Internet  10.34.1.2               3   5000.0007.0002  ARPA   GigabitEthernet0/2
Internet  192.168.1.13            -   5000.0006.0003  ARPA   GigabitEthernet0/3
Internet  192.168.1.100           0   000c.2901.30df  ARPA   GigabitEthernet0/3
